    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.3-1 , Train Loss: 0.0058, Train Accuracy: 95.01, Validation Loss: 0.0551, Validation Accuracy: 97.69%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.5-1 , Train Loss: 0.0102, Train Accuracy: 94.70, Validation Loss: 0.0545, Validation Accuracy: 97.89%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.7-1 , Train Loss: 0.0286, Train Accuracy: 93.19, Validation Loss: 0.0634, Validation Accuracy: 97.68%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.8-1 , Train Loss: 0.0538, Train Accuracy: 91.09, Validation Loss: 0.1251, Validation Accuracy: 93.75%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.9-1 , Train Loss: 0.2534, Train Accuracy: 88.56, Validation Loss: 0.1802, Validation Accuracy: 90.79%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.95-1 , Train Loss: 0.3240, Train Accuracy: 85.77, Validation Loss: 0.1978, Validation Accuracy: 90.79%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0-1 , Train Loss: 0.0034, Train Accuracy: 95.56, Validation Loss: 0.0840, Validation Accuracy: 97.49%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.3-1 , Train Loss: 0.0066, Train Accuracy: 94.72, Validation Loss: 0.0961, Validation Accuracy: 96.91%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.5-1 , Train Loss: 0.0162, Train Accuracy: 93.85, Validation Loss: 0.0738, Validation Accuracy: 97.61%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.7-1 , Train Loss: 0.0454, Train Accuracy: 92.40, Validation Loss: 0.1024, Validation Accuracy: 96.63%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.8-1 , Train Loss: 0.0849, Train Accuracy: 90.81, Validation Loss: 0.1443, Validation Accuracy: 95.56%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.9-1 , Train Loss: 0.3319, Train Accuracy: 87.86, Validation Loss: 0.2087, Validation Accuracy: 93.75%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.95-1 , Train Loss: 0.4892, Train Accuracy: 81.77, Validation Loss: 0.4799, Validation Accuracy: 85.94%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0-1 , Train Loss: 0.0023, Train Accuracy: 95.93, Validation Loss: 0.0791, Validation Accuracy: 95.82%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3-1 , Train Loss: 0.0058, Train Accuracy: 95.16, Validation Loss: 0.0485, Validation Accuracy: 98.13%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5-1 , Train Loss: 0.0104, Train Accuracy: 94.67, Validation Loss: 0.0758, Validation Accuracy: 96.41%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7-1 , Train Loss: 0.0259, Train Accuracy: 93.21, Validation Loss: 0.0793, Validation Accuracy: 96.32%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8-1 , Train Loss: 0.0538, Train Accuracy: 92.01, Validation Loss: 0.1311, Validation Accuracy: 93.36%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9-1 , Train Loss: 0.2516, Train Accuracy: 88.37, Validation Loss: 0.1253, Validation Accuracy: 94.57%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95-1 , Train Loss: 0.3212, Train Accuracy: 85.47, Validation Loss: 0.2397, Validation Accuracy: 87.60%
    MODEL:resnet18_MNIST_Evidence_2 , Train Loss: 0.0022, Train Accuracy: 95.92, Validation Loss: 0.0436, Validation Accuracy: 98.43%
    MODEL:resnet18_MNIST_2 , Train Loss: 0.0021, Train Accuracy: 95.70, Validation Loss: 0.0624, Validation Accuracy: 97.08%
    MODEL:resnet18-MNIST-random-0-2 , Train Loss: 0.0035, Train Accuracy: 95.54, Validation Loss: 0.0829, Validation Accuracy: 97.41%
    MODEL:resnet18-MNIST-random-0.3-2 , Train Loss: 0.0096, Train Accuracy: 94.63, Validation Loss: 0.1132, Validation Accuracy: 96.52%
    MODEL:resnet18-MNIST-random-0.5-2 , Train Loss: 0.0188, Train Accuracy: 93.96, Validation Loss: 0.2451, Validation Accuracy: 92.92%
    MODEL:resnet18-MNIST-random-0.7-2 , Train Loss: 0.0380, Train Accuracy: 92.39, Validation Loss: 0.3639, Validation Accuracy: 88.96%
    MODEL:resnet18-MNIST-random-0.8-2 , Train Loss: 0.0742, Train Accuracy: 91.22, Validation Loss: 0.2265, Validation Accuracy: 92.79%
    MODEL:resnet18-MNIST-random-0.9-2 , Train Loss: 0.3606, Train Accuracy: 87.08, Validation Loss: 0.2444, Validation Accuracy: 92.95%
    MODEL:resnet18-MNIST-random-0.95-2 , Train Loss: 0.4616, Train Accuracy: 81.43, Validation Loss: 0.3975, Validation Accuracy: 87.62%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0-2 , Train Loss: 0.0023, Train Accuracy: 95.85, Validation Loss: 0.0784, Validation Accuracy: 95.84%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.3-2 , Train Loss: 0.0052, Train Accuracy: 95.09, Validation Loss: 0.0569, Validation Accuracy: 97.51%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.5-2 , Train Loss: 0.0119, Train Accuracy: 94.44, Validation Loss: 0.0614, Validation Accuracy: 97.36%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.7-2 , Train Loss: 0.0256, Train Accuracy: 93.19, Validation Loss: 0.1092, Validation Accuracy: 94.48%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.8-2 , Train Loss: 0.0535, Train Accuracy: 92.42, Validation Loss: 0.1022, Validation Accuracy: 95.09%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.9-2 , Train Loss: 0.2608, Train Accuracy: 87.23, Validation Loss: 0.1452, Validation Accuracy: 92.99%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.95-2 , Train Loss: 0.3256, Train Accuracy: 85.53, Validation Loss: 0.2640, Validation Accuracy: 85.23%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-2 , Train Loss: 0.0029, Train Accuracy: 95.51, Validation Loss: 0.1005, Validation Accuracy: 96.84%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0073, Train Accuracy: 94.58, Validation Loss: 0.0819, Validation Accuracy: 97.38%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0165, Train Accuracy: 94.03, Validation Loss: 0.0735, Validation Accuracy: 97.75%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0458, Train Accuracy: 92.29, Validation Loss: 0.2415, Validation Accuracy: 92.21%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0913, Train Accuracy: 90.94, Validation Loss: 0.1656, Validation Accuracy: 94.68%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.3764, Train Accuracy: 86.19, Validation Loss: 0.2929, Validation Accuracy: 91.42%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.4752, Train Accuracy: 81.47, Validation Loss: 0.4786, Validation Accuracy: 86.10%
