MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.5-1 , Train Loss: 0.0070, Train Accuracy: 97.03, Validation Loss: 0.1439, Validation Accuracy: 91.58%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.7-1 , Train Loss: 0.0186, Train Accuracy: 95.82, Validation Loss: 0.1060, Validation Accuracy: 95.13%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.8-1 , Train Loss: 0.0392, Train Accuracy: 95.32, Validation Loss: 0.1423, Validation Accuracy: 92.86%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.9-1 , Train Loss: 0.2449, Train Accuracy: 91.33, Validation Loss: 0.1483, Validation Accuracy: 94.34%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-median-0.95-1 , Train Loss: 0.3700, Train Accuracy: 84.37, Validation Loss: 0.2491, Validation Accuracy: 90.08%
MODEL:resnet18_MNIST_E1_2 , Train Loss: 0.0024, Train Accuracy: 95.76, Validation Loss: 0.0495, Validation Accuracy: 97.97%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-2 , Train Loss: 0.0069, Train Accuracy: 94.90, Validation Loss: 0.0608, Validation Accuracy: 97.35%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-2 , Train Loss: 0.0112, Train Accuracy: 94.38, Validation Loss: 0.0564, Validation Accuracy: 97.91%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-2 , Train Loss: 0.0282, Train Accuracy: 92.90, Validation Loss: 0.0915, Validation Accuracy: 96.11%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-2 , Train Loss: 0.0576, Train Accuracy: 91.77, Validation Loss: 0.1007, Validation Accuracy: 96.19%
