MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3- , Train Loss: 0.0058, Train Accuracy: 95.13, Validation Loss: 0.0543, Validation Accuracy: 97.71%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5- , Train Loss: 0.0089, Train Accuracy: 94.62, Validation Loss: 0.0511, Validation Accuracy: 98.00%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7- , Train Loss: 0.0263, Train Accuracy: 93.22, Validation Loss: 0.0738, Validation Accuracy: 96.64%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8- , Train Loss: 0.0483, Train Accuracy: 92.12, Validation Loss: 0.1482, Validation Accuracy: 92.15%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9- , Train Loss: 0.2427, Train Accuracy: 89.20, Validation Loss: 0.1324, Validation Accuracy: 93.48%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95- , Train Loss: 0.3305, Train Accuracy: 85.20, Validation Loss: 0.2559, Validation Accuracy: 85.99%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0- , Train Loss: 0.0023, Train Accuracy: 95.85, Validation Loss: 0.0497, Validation Accuracy: 97.93%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3- , Train Loss: 0.0054, Train Accuracy: 95.20, Validation Loss: 0.0727, Validation Accuracy: 96.34%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5- , Train Loss: 0.0112, Train Accuracy: 94.21, Validation Loss: 0.0615, Validation Accuracy: 97.24%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7- , Train Loss: 0.0301, Train Accuracy: 92.93, Validation Loss: 0.0732, Validation Accuracy: 96.84%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8- , Train Loss: 0.0530, Train Accuracy: 91.89, Validation Loss: 0.1199, Validation Accuracy: 94.04%
