MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.3-2 , Train Loss: 0.0100, Train Accuracy: 95.93, Validation Loss: 1.0684, Validation Accuracy: 73.71%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.5-2 , Train Loss: 0.0436, Train Accuracy: 95.54, Validation Loss: 1.2426, Validation Accuracy: 70.42%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.7-2 , Train Loss: 0.0210, Train Accuracy: 95.07, Validation Loss: 1.6471, Validation Accuracy: 64.15%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.8-2 , Train Loss: 0.0442, Train Accuracy: 95.85, Validation Loss: 1.8539, Validation Accuracy: 60.05%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.9-2 , Train Loss: 0.1274, Train Accuracy: 95.50, Validation Loss: 2.3882, Validation Accuracy: 50.27%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.95-2 , Train Loss: 0.1325, Train Accuracy: 95.23, Validation Loss: 2.6195, Validation Accuracy: 47.53%

MODEL:resnet18_CIFAR10_E1_3 , Train Loss: 0.1010, Train Accuracy: 75.85, Validation Loss: 0.9669, Validation Accuracy: 69.63%
MODEL:resnet18-CIFAR10-random-0.3-3 , Train Loss: 0.0132, Train Accuracy: 95.78, Validation Loss: 1.2418, Validation Accuracy: 70.23%
MODEL:resnet18-CIFAR10-random-0.5-3 , Train Loss: 0.0319, Train Accuracy: 95.97, Validation Loss: 1.5171, Validation Accuracy: 68.05%
MODEL:resnet18-CIFAR10-random-0.7-3 , Train Loss: 0.0179, Train Accuracy: 95.26, Validation Loss: 1.6287, Validation Accuracy: 63.56%
MODEL:resnet18-CIFAR10-random-0.8-3 , Train Loss: 0.0586, Train Accuracy: 94.75, Validation Loss: 1.9628, Validation Accuracy: 57.81%
MODEL:resnet18-CIFAR10-random-0.9-3 , Train Loss: 0.1318, Train Accuracy: 95.49, Validation Loss: 2.2796, Validation Accuracy: 52.68%
MODEL:resnet18-CIFAR10-random-0.95-3 , Train Loss: 0.0927, Train Accuracy: 96.88, Validation Loss: 2.9002, Validation Accuracy: 42.65%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.3-3 , Train Loss: 0.0118, Train Accuracy: 95.57, Validation Loss: 1.2164, Validation Accuracy: 71.06%
