MODEL:resnet18-MNIST-predictive_entropy-bottom-0.95-3 , Train Loss: 0.0382, Train Accuracy: 96.40, Validation Loss: 3.1323, Validation Accuracy: 56.97%
MODEL:resnet18-MNIST-predictive_entropy-median-0.3-3 , Train Loss: 0.0032, Train Accuracy: 97.15, Validation Loss: 0.1061, Validation Accuracy: 97.06%
MODEL:resnet18-MNIST-predictive_entropy-median-0.5-3 , Train Loss: 0.0055, Train Accuracy: 96.99, Validation Loss: 0.7435, Validation Accuracy: 86.67%
MODEL:resnet18-MNIST-predictive_entropy-median-0.7-3 , Train Loss: 0.0094, Train Accuracy: 96.37, Validation Loss: 0.3699, Validation Accuracy: 90.48%
MODEL:resnet18-MNIST-predictive_entropy-median-0.8-3 , Train Loss: 0.0306, Train Accuracy: 95.45, Validation Loss: 0.3554, Validation Accuracy: 90.95%
MODEL:resnet18-MNIST-predictive_entropy-median-0.9-3 , Train Loss: 0.1782, Train Accuracy: 92.96, Validation Loss: 0.3941, Validation Accuracy: 89.41%
MODEL:resnet18-MNIST-predictive_entropy-median-0.95-3 , Train Loss: 0.2705, Train Accuracy: 88.49, Validation Loss: 0.3923, Validation Accuracy: 88.75%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-3 , Train Loss: 0.0087, Train Accuracy: 94.73, Validation Loss: 0.0674, Validation Accuracy: 97.98%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-3 , Train Loss: 0.0171, Train Accuracy: 93.87, Validation Loss: 0.1410, Validation Accuracy: 95.73%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-3 , Train Loss: 0.0389, Train Accuracy: 92.43, Validation Loss: 0.1400, Validation Accuracy: 95.64%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-3 , Train Loss: 0.0698, Train Accuracy: 90.89, Validation Loss: 0.2422, Validation Accuracy: 92.74%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.9-3 , Train Loss: 0.3536, Train Accuracy: 87.89, Validation Loss: 0.1511, Validation Accuracy: 95.52%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.95-3 , Train Loss: 0.4646, Train Accuracy: 82.20, Validation Loss: 0.6775, Validation Accuracy: 80.10%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-3 , Train Loss: 0.0075, Train Accuracy: 94.97, Validation Loss: 0.2048, Validation Accuracy: 93.66%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-3 , Train Loss: 0.0156, Train Accuracy: 94.21, Validation Loss: 0.1196, Validation Accuracy: 96.22%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-3 , Train Loss: 0.0413, Train Accuracy: 92.54, Validation Loss: 0.1336, Validation Accuracy: 95.94%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-3 , Train Loss: 0.0820, Train Accuracy: 90.96, Validation Loss: 0.2427, Validation Accuracy: 92.57%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.9-3 , Train Loss: 0.3487, Train Accuracy: 87.31, Validation Loss: 0.1823, Validation Accuracy: 94.18%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.95-3 , Train Loss: 0.4506, Train Accuracy: 82.44, Validation Loss: 0.3031, Validation Accuracy: 90.18%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.3-3 , Train Loss: 0.1223, Train Accuracy: 76.70, Validation Loss: 0.2990, Validation Accuracy: 89.82%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.5-3 , Train Loss: 0.0850, Train Accuracy: 74.71, Validation Loss: 0.5050, Validation Accuracy: 82.41%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.7-3 , Train Loss: 0.0000, Train Accuracy: 72.27, Validation Loss: 0.3119, Validation Accuracy: 89.35%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.8-3 , Train Loss: 0.8592, Train Accuracy: 69.82, Validation Loss: 0.5104, Validation Accuracy: 82.73%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.9-3 , Train Loss: 1.0735, Train Accuracy: 62.22, Validation Loss: 0.6628, Validation Accuracy: 77.21%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.95-3 , Train Loss: 1.2199, Train Accuracy: 54.73, Validation Loss: 1.5024, Validation Accuracy: 53.26%

